PRODUCT_ID,PRODUCT_NAME,CATEGORY,BRAND
PROD001437,HP Laptop V10,Electronics,HP
PROD001923,Lays Chips V5,Grocery,Lays
PROD000052,Mamaearth Facewash V4,Beauty,Mamaearth
PROD001758,Nike Shoes V7,Fashion,Nike
PROD000722,Puma Shoes V2,Sports,Puma
PROD001956,Aashirvaad Atta V8,Grocery,Aashirvaad
PROD001979,Dove Soap V5,Beauty,Dove
PROD000810,Apple iPhone V8,Electronics,Apple
PROD001022,Peter England Shirt V10,Fashion,Peter
PROD000032,Fortune Oil V4,Grocery,Fortune
PROD001408,Nike Shoes V7,Fashion,Nike
PROD001861,Levis Jeans V4,Fashion,Levis
PROD001018,boAt Headphones V10,Electronics,boAt
PROD001265,Apple iPhone V8,Electronics,Apple
PROD000865,Dumbbells V3,Sports,Dumbbells
PROD000939,Notebook V7,Books,Notebook
PROD000706,Levis Jeans V7,Fashion,Levis
PROD001880,Dumbbells V4,Sports,Dumbbells
PROD000962,Mamaearth Facewash V8,Beauty,Mamaearth
PROD001281,Nike T-shirt V2,Sports,Nike
PROD001093,Nike Shoes V4,Fashion,Nike
PROD001754,Noise Watch V8,Electronics,Noise
PROD000444,Yoga Mat V10,Sports,Yoga
PROD001199,Titan Watch V7,Fashion,Titan
PROD001337,Peter England Shirt V2,Fashion,Peter
PROD000036,Samsung Mobile V4,Electronics,Samsung
PROD001471,Samsung Mobile V9,Electronics,Samsung
PROD001790,Apple iPhone V7,Electronics,Apple
PROD000179,Noise Watch V1,Electronics,Noise
PROD000319,Noise Watch V4,Electronics,Noise
PROD001227,HP Laptop V9,Electronics,HP
PROD000198,Decathlon Cycle V9,Sports,Decathlon
PROD000878,boAt Headphones V9,Electronics,boAt
PROD001421,Nike T-shirt V7,Sports,Nike
PROD000901,Fiction Novel V2,Books,Fiction
PROD001305,Puma T-shirt V4,Fashion,Puma
PROD000350,Haldiram Snacks V5,Grocery,Haldiram
PROD001612,HP Laptop V9,Electronics,HP
PROD001646,Samsung Mobile V3,Electronics,Samsung
PROD001275,Urban Ladder Sofa V4,Home,Urban
PROD000941,Aashirvaad Atta V6,Grocery,Aashirvaad
PROD000242,Fortune Oil V10,Grocery,Fortune
PROD000527,HP Laptop V7,Electronics,HP
PROD000974,Notebook V4,Books,Notebook
PROD000989,Titan Watch V7,Fashion,Titan
PROD001051,Samsung Mobile V1,Electronics,Samsung
PROD001256,Aashirvaad Atta V7,Grocery,Aashirvaad
PROD000385,Haldiram Snacks V7,Grocery,Haldiram
PROD000808,boAt Headphones V6,Electronics,boAt
PROD000915,Apple iPhone V7,Electronics,Apple
PROD001108,Decathlon Cycle V3,Sports,Decathlon
PROD000445,Dumbbells V6,Sports,Dumbbells
PROD001036,Nike T-shirt V8,Sports,Nike
PROD001110,Dumbbells V9,Sports,Dumbbells
PROD001446,IKEA Chair V8,Home,IKEA
PROD001515,Puma T-shirt V7,Fashion,Puma
PROD001587,Prestige Cooker V4,Home,Prestige
PROD000497,Peter England Shirt V5,Fashion,Peter
PROD000221,IKEA Chair V4,Home,IKEA
PROD000485,Stationery Set V1,Books,Stationery
PROD001781,Aashirvaad Atta V1,Grocery,Aashirvaad
PROD000666,Samsung Mobile V9,Electronics,Samsung
PROD000496,Levis Jeans V8,Fashion,Levis
PROD001492,Puma Shoes V2,Sports,Puma
PROD000642,Prestige Cooker V8,Home,Prestige
PROD001811,Fiction Novel V3,Books,Fiction
PROD001928,boAt Headphones V5,Electronics,boAt
PROD000433,Philips Mixer V7,Home,Philips
PROD000465,Puma T-shirt V7,Fashion,Puma
PROD001348,Nivea Cream V8,Beauty,Nivea
PROD000740,Apple iPhone V7,Electronics,Apple
PROD000200,Dumbbells V4,Sports,Dumbbells
PROD001473,boAt Headphones V3,Electronics,boAt
PROD000297,Mamaearth Facewash V5,Beauty,Mamaearth
PROD000007,Peter England Shirt V8,Fashion,Peter
PROD000629,Nescafe Coffee V7,Grocery,Nescafe
PROD000600,Apple iPhone V8,Electronics,Apple
PROD000203,Comics V3,Books,Comics
PROD001817,Fortune Oil V8,Grocery,Fortune
PROD001942,Mamaearth Facewash V9,Beauty,Mamaearth
PROD000040,Apple iPhone V2,Electronics,Apple
PROD001387,Puma Shoes V8,Sports,Puma
PROD001297,HP Laptop V4,Electronics,HP
PROD000546,Nike T-shirt V5,Sports,Nike
PROD001475,Apple iPhone V1,Electronics,Apple
PROD001975,Urban Ladder Sofa V6,Home,Urban
PROD000616,Nike T-shirt V5,Sports,Nike
PROD001713,Lays Chips V8,Grocery,Lays
PROD000566,Levis Jeans V3,Fashion,Levis
PROD000813,Nike Shoes V7,Fashion,Nike
PROD000056,Nike T-shirt V6,Sports,Nike
PROD001900,Puma T-shirt V10,Fashion,Puma
PROD000775,Apple iPhone V3,Electronics,Apple
PROD000512,Puma Shoes V10,Sports,Puma
PROD001599,Yoga Mat V8,Sports,Yoga
PROD001371,Levis Jeans V3,Fashion,Levis
PROD000615,Plum Serum V3,Beauty,Plum
PROD001881,Fiction Novel V7,Books,Fiction
PROD001756,Levis Jeans V6,Fashion,Levis
PROD000970,Dumbbells V2,Sports,Dumbbells
