ORDER_ID,CUSTOMER_ID,PRODUCT_ID,ORDER_DATE,QUANTITY,UNIT_PRICE,TOTAL_AMOUNT,PAYMENT_MODE,ORDER_STATUS
ORD0000000001,CUST00014303,PROD001017,2026-06-07,1,2622.46,2622.46,COD,Delivered
ORD0000000002,CUST00034253,PROD000703,2025-02-04,1,90258.00,90258.00,COD,Delivered
ORD0000000003,CUST00000421,PROD000318,2026-03-12,1,3536.50,3536.50,UPI,Processing
ORD0000000004,CUST00026507,PROD000213,2025-01-27,1,34081.56,34031.56,CREDIT CARD,Delivered
ORD0000000005,CUST00009418,PROD001437,2024-06-30,2,69021.17,138042.34,UPI,Delivered
ORD0000000006,CUST00033802,PROD000121,2025-09-18,1,4489.77,4439.77,UPI,Returned
ORD0000000007,CUST00027469,PROD001308,2026-03-01,2,33620.99,67241.98,COD,Processing
ORD0000000008,CUST00017326,PROD001392,2024-06-19,2,1161.62,2090.92,CREDIT CARD,Delivered
ORD0000000009,CUST00009627,PROD001876,2025-02-12,1,22456.69,20211.02,CREDIT CARD,Delivered
ORD0000000010,CUST00012719,PROD000214,2024-10-19,1,86647.71,86647.71,UPI,Delivered
ORD0000000011,CUST00034189,PROD000803,2025-12-01,1,479.01,535.14,UPI,Delivered
ORD0000000012,CUST00024824,PROD001485,2025-07-03,1,10965.89,9869.30,COD,Cancelled
ORD0000000013,CUST00004378,PROD000636,2026-04-17,1,3948.58,3948.58,COD,Delivered
ORD0000000014,CUST00000924,PROD001923,2024-12-27,1,1266.14,1266.14,COD,Delivered
ORD0000000015,CUST00030093,PROD001441,2026-01-01,1,4262.44,4262.44,COD,Delivered
ORD0000000016,CUST00034526,PROD000781,2026-05-22,1,1021.14,1021.14,COD,Delivered
ORD0000000017,CUST00037696,PROD001773,2024-09-01,1,17033.33,17033.33,CREDIT CARD,Delivered
ORD0000000018,CUST00009717,PROD000149,2026-05-16,1,6290.14,6290.14,COD,Delivered
ORD0000000019,CUST00004755,PROD000412,2026-06-23,2,169.02,375.87,UPI,Delivered
ORD0000000020,CUST00012891,PROD001160,2025-11-24,1,40693.81,40693.81,UPI,Delivered
ORD0000000021,CUST00004111,PROD000711,2024-08-01,2,39890.25,79780.50,COD,Delivered
ORD0000000022,CUST00005911,PROD001053,2024-06-23,3,9843.99,26578.77,COD,Delivered
ORD0000000023,CUST00001473,PROD001984,2026-01-08,1,10438.92,10438.92,COD,Delivered
ORD0000000024,CUST00017813,PROD000955,2026-05-26,1,4040.86,4040.86,UPI,Processing
